URL,"HTTP Code",Status,"Total Time (sec)","Name Lookup Time (sec)","Connect Time (sec)","Download Speed Time","Check Status Date"
xeroneit.net,200,OK,11.31,1.467,1.467,6680,"2016-01-16 07:12:52"
,0,"Not Registered",0,0,0,0,"2016-01-16 07:13:03"
